Move Name,Video Link,Cues/Notes (Needs to be finished),,
Downward Dog Sequence,https://youtu.be/EEM6zdrT5_U?si=F-1yhXeDNLkVZfYg,"20-40 sec each position. Drive heels toward the floor, push hands through floor. Reach hips into the sky.",,
Hamstring/Hip Distraction Stretch,https://youtu.be/76MJzSMBH8E?si=cX9fOIevJMlTHheZ,"60-90 sec per side. Band placed 5-10 inches off floor on rack/anchor point. On leg being stretched, rotate knee out and straighten.",,
Hip Flexor Distraction Stretch,https://youtu.be/Yp55_cIoD_Q?si=JdE0s_NsLr1qVdqA,60-90 sec per side. Band placed 5-10 inches off floor on rack/anchor point. Keep back leg in full hip extension and rotate torso away from back leg.,,
Adductor Distraction Stretch,https://youtu.be/JXIBMff3F3A?si=BYp_BCCg9PYN_yaX,60-90 sec per side. Band placed 5-10 inches off floor on rack/anchor point. Squeeze quad and externally rotate stretched leg.,,
Pec/Bicep Distraction Stretch,https://youtu.be/3_lv8nGEtRg?si=d4lzuUFIl5bbqdRn,60-90 sec per side. Band placed 4-8 inches above height of head on rack/anchor point. Pull shoulder down and palm up on stretched arm.,,
Tricep/Lat Distraction Stretch,https://youtu.be/irhy7gj20tU?si=DU-HSIeoUXDIycHV,60-90 sec per side. Band placed 4-8 inches above height of head on rack/anchor point. Palm up and reach elbow into the sky on stretched arm.,,
Posterior Shoulder Distraction Stretch,https://youtu.be/S0txhV6DlGE?si=2C5o21cEBU3q8sD2,60-90 sec per side. Band placed at the height of shoulder on rack/anchor point. Keep elbow straight and palm up on stretched arm.,,
Twisted Lizard Stretch,https://youtu.be/MUUQfokcg10?si=nUYElY6vm6a-TJlI,"60-90 sec per side. Drive back hip forward, big chest and rotate torso towards front leg.",,
Couch Stretch ,,60-90 sec per side. Elevate back foot on surface and plant knee on floor. From lunge position push hips into full extension and rotate torso toward front leg. ,,
Deer Pose Stretch,https://youtu.be/6NFq6fzINBk?si=Jhc9Uru3IiQrKPpt,60-90 sec per side. Sit up tall and rotate torso over stretched leg.,,
Frog Stretch,https://youtu.be/AI7Jh3YLW9c?si=8E9kKDtLvqebdFz6,"60-90 sec. Knees as wide as possible, rock hips forward and back. Move feet further apart for deeper stretch.",,
Standing Hamstring Stretch,https://youtu.be/9vyhJMG3f3Y?si=a-FUimGTxYiMxrf5,"60-90 sec. Wide stance, push hip back and drive knee out. Rotate toes into sky on stretched leg.",,
Bent and Full Pancake Stretch,https://youtu.be/K2u9dNRM1Ws?si=gl27p2y4ZbIgXhAd,60-90 sec each position. Reach chest and head towards floor. Tuck chin and squeeze abs. Pull toes up into the sky.,,
Cossack Squat Stretch ,https://youtu.be/KEGH8CwsYgs?si=o_7xdukHJPpOoRl5,,,
World's Greatest Stretch,https://youtu.be/Y8SDnGTjqmo?si=krvyq8iVqmsfzaVp,"40-60 sec each side. Step into a lunge, drop the elbow to the instep, and reach the same hand toward the sky.",,
Brettzel Stretch,https://youtu.be/5nSoQW-fejk?si=Ps7vRsFRWt2zKetX,"40-60 sec each side. Grab the back foot and top knee, rotate the top shoulder toward the floor on every exhale.",,
Half Lord of the Fishes Stretch,https://youtu.be/3OR9sUuoISA?si=6NiwVMDwGuNxsgdk,"40-60 sec each side. Sit tall and twist toward the top leg, using the opposite elbow to push against the knee.",,
T-Spine Extensions Stretch,https://youtu.be/zyhy8v_WRaQ?si=Bp6fQ9iIZ6d2FfRk,"40-60 sec. Place the roller at mid-back. Interlock fingers together behind head, drive elbows out after dropping head down.",,
Bow Pose Stretch,https://youtu.be/P2iVTwac1QU?si=gX9pH7fN6d3p4LBo,"60-90 sec. Knees together, butt tight. Kick feet through hands and squeeze shoulder blades together.",,
